index,Unnamed: 0,platform,title,description,keywords,htext,params,wiki,alltext,jscheck,docscheck,blogscheck,commcheck,category
459,459,www.punkchip.com, punkchip, , ,"A brief round up of what I did this year, mainly for myself but you can read it if you want. Read the rest of this entry » Punkchip Goodbye 2014 ",/javascript-shorthand/,,  read brief year round want mainly entry goodbye rest shorthand javascript punkchip,0,0,0,0,NEWS
460,460,www.debuggex.com, , , , ,/cheatsheet/regex/javascript,,  cheatsheet regex javascript,0,0,0,0,REPL
463,463,davidbcalhoun.com,this is your life | david calhoun,"my new photography youtube channel 2017 mar 11 photography, travel, video, youtube beginning thoughts on the idea of a great american road trip 2017 …",,David Calhoun ,/2009/passing-data-to-functions-in-javascript/,,  photography new channel video calhoun beginning idea road trip life data functions passing thoughts mar javascript american great david youtube travel,0,0,0,0,NEWS
464,464,bountify.co,bountify | crowdsource small coding tasks, , , ,/use-phantomjs-or-casperjs-to-log-in-to-weight-watchers-mobile-website,,  tasks weight website crowdsource log phantomjs watchers coding bountify mobile small use casperjs,0,0,0,0,PACKAGE
465,465,abdulapopoola.com,"codekraft – software development, programming languages and life","weekly articles on software development, programming languages and career tips.", ,"What if I told you JavaScript had a limited form of the infamous goto statement? Surprised? Read on. CodeKraft Software Development, Programming Languages and Life ",/2015/04/17/how-to-watch-variables-in-javascript/,,  read statement goto life weekly tips career told limited variables surprised watch languages form infamous software codekraft development javascript programming articles,0,0,0,0,NEWS
466,466,www.salsify.com,product content management platform | salsify,"salsify enables e-commerce, marketing, and sales teams to create, manage, optimize, and syndicate detailed product content & digital assets from a single place.", ,That makes product content your business. 88% of consumers say that product content is the key driver of their purchase decisions. Product content is the core of a great customer experience. ,/blog/engineering/super-methods-in-javascript,,  experience salsify methods core super digital manage consumers driver detailed marketing optimize assets makes e blog management content place say enables create key sales customer product decisions single engineering platform commerce business javascript teams syndicate great purchase,0,0,0,0,PACKAGE
467,467,js.stripe.com, , , , ,,"Stripe is a US technology company, operating in over 25 countries, that allows both private individuals and businesses to accept payments over the Internet. Stripe focuses on providing the technical, fraud prevention, and banking infrastructure required to operate on-line payment systems.", ,0,0,0,0,NOCLASS
469,469,mochajs.org,"mocha - the fun, simple, flexible javascript test framework", , ,"simple, flexible, fun  Backers ",/,,  backers test simple javascript flexible framework mocha fun,1,0,0,0,PACKAGE
470,470,retrosnob.files.wordpress.com,justin robertson | teaching and learning resources for ib computer science,teaching and learning resources for ib computer science, ,"Java provides a method of saving objects to file, called Serialization. In order for an object to be serializable it must implement the java.io.Serializable interface and you should set a version ID as well as shown below. Justin Robertson Java Serialization Example ",/2014/10/foundation-game-design-with-html5-and-javascript-v413hav-1.pdf,,  implement version must robertson computer pdf foundation set id file teaching interface order io method design object justin saving example learning java serialization game resources provides v413hav well ib science javascript objects html5 serializable called shown,0,0,0,0,NEWS
471,471,www.learn-js.org,learn javascript - free interactive javascript tutorial,"learn-js.org is a free interactive javascript tutorial for people who want to learn javascript, fast.","learn,javascript,tutorial,interactive,free",Welcome to the learn-js.org interactive JavaScript tutorial.  Welcome Table of Contents ,/en/Callbacks,,  org people en welcome table want tutorial js free contents fast callbacks learn interactive javascript,1,0,0,0,REPL
472,472,derickbailey.com,derickbailey.com - trade secrets of a developer / entrepreneur,trade secrets of a developer / entrepreneur, ,Trade Secrets Of A Developer / Entrepreneur DerickBailey.com Docker for JavaScript Developers: On-Site Training ,/2015/03/25/jshint-confusing-use-of-bang/,,  entrepreneur jshint com trade developers bang use docker site developer derickbailey confusing secrets training javascript,0,0,0,0,NEWS
473,473,ip-info.com, , , , ,/json,,  json,0,0,0,0,PACKAGE
475,475,world.openfoodfacts.org,open food facts - world, , ,Sign-in to add or edit products. Open Food Facts - World Open Food Facts ,/cgi/search.pl,"Open Food Facts is a free, online and crowdsourced database of food products from around the world licensed under the Open Database License (ODBL) while its artwork —uploaded by contributors— is distributed under a Creative Commons Attribution–Share Alike license.",  pl facts world cgi edit search food open products add sign,0,0,0,0,COMMUITY
476,476,www.openthesaurus.de,synonyme - openthesaurus - deutscher thesaurus,"freies deutsches wörterbuch für synonyme, gegenwörter und assoziationen. mehr als 100.000 wörter.","synonyme, synonym, wörterbuch, thesaurus, sinnverwandte wörter",Synonyme und Assoziationen Partner-Websites: ,/synonyme/search,,  sinnverwandte r openthesaurus thesaurus gegenw websites freies w assoziationen als mehr deutsches rter und search f rterbuch deutscher synonyme synonym partner,0,0,0,0,PACKAGE
477,477,danshort.com,the danshort web,the home on the web of dan short,dan short,  ,/HTMLentities/index.php,,  danshort dan web home short php htmlentities index,0,0,0,0,NEWS
478,478,www.meetup.com,we are what we do | meetup,find meetups so you can do more of what matters to you. or create your own group and meet people near you who share your interests.,"groups,group,clubs,club,event,events,networking,local,meet,near you,meetup,meetups",Do more of it with Meetup What do you love? Upcoming Meetups nearby ,"/seattlejs/,/seattlejs/events/230354991/,/seattlejs/events/235829956/,/seattlejs/events/231089467/,/LeedsJS/events/235121908/",,  people groups interests networking events clubs seattlejs group meetups meetup leedsjs event club near matters nearby local create meet upcoming share love find,0,0,0,0,COMMUITY
479,479,www.quackit.com,quackit tutorials,"free web development/design tutorials. includes css, javascript, ajax, coldfusion, and html tutorials, code examples, layout help and references. complete list of html tags and css properties. also contains resources and background overview of xml, asp, xhtml, sql, sql server, databases and more.","free tutorials, web, online, web design tutorials, tips, css, cascading style sheets, coldfusion, asp, active server pages, xml, xhtml, html, javascript, web servers, database, sql server, sql, ms access.","Free web tutorials, codes, templates, and tools. Quackit Tutorials HTML  ",/javascript/tutorial/javascript_escape_characters.cfm,,  codes characters asp help active includes cascading templates escape complete background database also contains xml xhtml sql style tutorial design ajax tags layout css tips servers tutorials cfm free online pages html references ms server resources list properties access web quackit tools development javascript code coldfusion sheets databases examples overview,0,0,0,0,TRAINING
480,480,html5weekly.com,"frontend focus: a free, weekly email newsletter","a once–weekly roundup of the best frontend news, articles and tutorials. html, css, webgl, canvas, browser technology, and more.", ,"FrontEnd Focus A once–weekly roundup of the best frontend news, articles and tutorials. HTML, CSS, WebGL, Canvas, browser technology, and more. ",/,,  frontend best webgl email technology focus weekly canvas css news tutorials free html roundup browser articles newsletter,0,0,0,0,NEWS
481,481,www.embeddedjs.com,ejs - javascript templates, , ,Need help with JavaScript? Hire the experts at Bitovi EJS <% Embedded JavaScript %> ,/,,  ejs need help embedded bitovi javascript templates experts hire,1,0,0,0,PACKAGE
482,482,www.ictforu.com,ict for u - home,ictforu.com is a tech portal ,"java, tips, tricks, ictforum, australia, ict, ubuntu", ,/index.php/web-development/javascripts/70-javascript-movingdiv},,  com tech u ict tips home ictforu java index movingdiv tricks web development javascript php portal ubuntu javascripts australia ictforum,0,0,0,0,NEWS
484,484,davidshariff.com,david shariff,"ui engineering manager at amazon. extensive experience in web technologies and well versed in user interface development of high performance, large scale web applications.", ,'I''m hiring! Send your resumé to: David Shariff Manage the UI Platform Team @ Amazon.com ',"/blog/javascripts-undefined-explored/,/blog/what-is-the-execution-context-in-javascript/,/js-quiz/,/blog/javascript-this-keyword/",,  undefined shariff experience com context manage quiz technologies keyword explored user ui interface blog resum js versed send high performance extensive amazon hiring engineering large well applications platform web manager team development javascript scale javascripts david execution,0,0,0,0,NEWS
486,486,www.technoblogical.com,technoblogical | video tutorials since last tuesday  ,"providing training videos since last tuesday. how-to videos on windows and linux with office, wordpress, active directory, and more!", ,Technoblogical ,/javascript-booleans-are-binary-objects/,,  active tuesday video binary linux booleans technoblogical tutorials since videos office last providing training javascript windows objects wordpress directory,0,0,0,0,TRAINING
487,487,editor.wix.com,free website builder | create a free website | wix.com,"'create a free website with wix.com. customize with wix'' free website builder, no coding skills needed. choose a design, begin customizing and be online today!'", ,A man looks out towards the city skyline. It All Starts with Your Stunning Website Everything You Need toCreate Your Stunning Website ,/html/editor/web/renderer/new,"Wix.com is a cloud-based web development platform that was first developed and popularized by the Israeli company also called Wix. It allows users to create HTML5 web sites and mobile sites through the use of online drag and drop tools. Users may add functionality such as social plug-ins, e-commerce, contact forms, e-mail marketing, and community forums to their web sites using a variety of Wix-developed and third-party applications.",  new com customizing needed website builder looks city design stunning man coding skyline customize free online choose html create wix tocreate starts editor web skills need renderer today towards everything begin,0,0,0,0,PAAS
488,488,genius.com,genius song lyrics & knowledge, , , ,/Nested-loops-javascript-what-are-you-lyrics,"Genius (formerly Rap Genius) is an online media knowledge base founded on October 2009 by Mahbod Moghadam, Tom Lehman, and Ilan Zechory. The site allows users to provide annotations and interpretation of song lyrics, news stories, sources, poetry, and documents.",  nested lyrics loops javascript genius song knowledge,0,0,0,0,NEWS
489,489,jsben.ch,jsben.ch benchmarking for javascript,online javascript benchmark tool / playground. find the best performance and speed up your code!,"javascript, benchmark, online, testing, code editor, benchmark tool, performance, speed, comparison, efficiency", ,/,,  best comparison efficiency jsben ch tool benchmarking playground online speed performance editor benchmark testing javascript code find,0,0,0,0,REPL
490,490,www.infobyip.com,information by ip address,"information for ip address and browser: location, weather, client properties and more. advanced internet tools.","ip, address, information","InfoByIp.com provides IP detection, geolocation and weather forecast. Both IPv4 and IPv6 are supported. Geolocation determines country, state and city of the IP address as well as latitude, longitude and altitude. In addition browsers properties are shown when displayed IP is the client IP. Browser properties include user agent, screen resolution and size, color depth, list of installed plugins, local time, java and flash support. Internet tools ",/htmlandjavascripteditor.php,,  determines plugins com latitude size state weather time user displayed city browsers supported infobyip altitude ip include depth location htmlandjavascripteditor screen country ipv6 addition java installed local address client geolocation provides list forecast agent properties well browser detection advanced tools internet flash longitude php resolution ipv4 color support information shown,0,0,0,0,PACKAGE
491,491,app.cssmenumaker.com,menu maker, , , ,/,,  maker menu,0,0,0,0,PACKAGE
492,492,www.pauleveritt.org,paul’s blog — paul everitt  documentation, , , ,/articles/pylyglot/jsdom/,,  paul blog documentation pylyglot everitt articles jsdom,0,0,0,0,NEWS
499,499,www.nostarch.com,no starch press | no starch press, , ,There are no products in your shopping cart. No Starch Press Search form ,/oojs,,  press starch cart oojs shopping search products form,0,0,0,0,ECOMMERCE
500,500,www.bing.com,bing,"met bing zet je informatie om in actie, zodat je sneller en gemakkelijker kunt overschakelen van zoeken naar doen.", , ,/HPImageArchive.aspx,"'Bing Videos (previously MSN Video and Live Search Video) is a video search service and part of Microsoft''s Bing search engine. The service enables users to search and view videos across various websites. Bing Videos was officially released on September 26, 2007 as Live Search Video, and rebranded as Bing Videos on June 1, 2009.'",  je doen met kunt hpimagearchive informatie en bing actie aspx sneller overschakelen van naar om gemakkelijker zoeken zodat zet,0,0,0,0,SENGINE
501,501,blog.thefirehoseproject.com,firehose - your software career starts here.,firehose is the new way to become a software engineer. learn online at your own pace. work 1-on-1 with an experienced mentor. and collaborate with other students in real time., ,Your software career starts here. The Firehose Project ,/posts/nodejs-vs-rails/,,  new firehose time real rails collaborate mentor work pace experienced career way online nodejs project become starts learn posts software students vs engineer,0,0,1,0,NEWS
502,502,blog.udemy.com,udemy blog — helping people around the world build the lives they imagine.,helping people around the world build the lives they imagine., ,It’ll help you innovate too. Why the Best Leaders Show Their Weaknesses ,"/javascript-split/,/javascript-href/",,  people world best help show helping build blog weaknesses href innovate imagine around leaders udemy javascript split lives,0,0,1,0,NEWS
508,508,strongloop.com,strongloop - open-source solutions for the api developer community , , ,"StrongLoop began in 2013 offering an open-source enterprise version of Node.js. Acquired by IBM in 2015, the StrongLoop team continues to build LoopBack, the open-source Node.js API Framework. IBM continues to contribute and support the StrongLoop community through these projects that provide key technologies for the API economy: Open-source solutions for the API developer community ",/strongblog/an-introduction-to-javascript-es6-arrow-functions/,"StrongLoop is an American company working with Node.js to create and support StrongLoop Suite, a Mobile API Tier. StrongLoop employs two members of the Node.js Technical Steering Committee.",  loopback version strongblog economy technologies solutions began build node api community ibm introduction framework projects contribute js strongloop acquired source open provide es6 functions developer offering key arrow enterprise team javascript continues support,0,0,0,0,PACKAGE
509,509,json.parser.online.fr,json parser online,"analyze your json string as you type with an online javascript parser, featuring tree view and syntax highlighting. processing is done locally: no data send to server.","json,javascript object notation,parser,parseur,online,tool,free,javascript,tree,treeview,tree view,post,syntax highlighting,парсер,解析器,محلل جسون", ,/,,  analyze highlighting parser done locally syntax view tool object data json post treeview send type free online tree featuring server string javascript notation processing parseur,0,0,0,0,REPL
511,511,www.syntaxsuccess.com,home, , ,Recent Articles ,/viewarticle/javascript-variable-assignment-explained,,  home viewarticle explained assignment javascript recent articles variable,0,0,0,0,NEWS
512,512,jsconsole.com,javascript console - for debugging javascript and remote debugging mobile web apps, , , ,/,,  web apps javascript remote mobile console debugging,0,0,0,0,REPL
515,515,atmospherejs.com,"the trusted source for javascript packages, meteor resources and tools | atmosphere",the best way to discover reliable meteor packages to install in your apps., , ,"/reywood/publish-composite,/meteorhacks/async",,  trusted best reywood meteorhacks composite discover reliable apps packages source atmosphere way publish resources meteor async tools javascript install,1,0,0,0,PACKAGE
516,516,labs.steren.fr,steren labs – side projects and experiments,side projects and experiments, ,Side projects and experiments Steren labs Setting up Stackdriver Error Reporting on Play Framework 1.4 ,/2010/11/18/call-wikipedia-api-using-jquery/,,  error using wikipedia play reporting call api jquery framework steren setting labs stackdriver side experiments projects,0,0,0,0,NEWS
518,518,pt.stackoverflow.com,stack overflow em português,perguntas e respostas para programadores profissionais e entusiastas, ,todas as tags » Explore nossas perguntas ,/questions/172756/angular-http-post,"'Stack Overflow is a privately held website, the flagship site of the Stack Exchange Network, created in 2008 by Jeff Atwood and Joel Spolsky. It was created to be a more open alternative to earlier question and answer sites such as Experts-Exchange. The name for the website was chosen by voting in April 2008 by readers of Coding Horror, Atwood''s popular programming blog.'",  respostas overflow angular perguntas todas explore e tags para post programadores questions http nossas entusiastas portugu stack em profissionais,0,0,0,0,COMMUITY
522,522,t5jixg.by3301.livefilestore.com, , , , ,/y3m2Yqfx3RIvH5KkCCvX5UEXcOk0QWVzP2iY4zncz0_aa3PyCmEieSO0pkpuJKcxZ9IW6Lb5Pt1MHoM74xgsRFbFUBSJAc9dJ0_S2Ln1l0RweHKkb9pmCo5CTeOWx-AjHp-7R7dZoL3sujSNWMaRuDrA3rNfgRijs-em2jpLCAc66I/prob.PNG,,  s2ln1l0rwehkkb9pmco5cteowx ajhp em2jplcac66i y3m2yqfx3rivh5kkccvx5uexcok0qwvzp2iy4zncz0 prob aa3pycmeieso0pkpujkcxz9iw6lb5pt1mhom74xgsrfbfubsjac9dj0 png,0,0,0,0,NOCLASS
523,523,odetocode.com,odetocode by k. scott allen, , ,Latest Blog Posts ASP.NET Configuration Options Will Understand Arrays ,/blogs/scott/archive/2007/07/04/function-apply-and-function-call-in-javascript.aspx,,  asp arrays function call blog understand archive scott posts apply options latest net javascript aspx k configuration blogs odetocode allen,0,0,0,0,NEWS
524,524,www.thinkful.com,thinkful · the online coding bootcamp,"learn web development or data science at thinkful, the online coding bootcamp. accelerate your knowledge by working 1-on-1 with an expert mentor.","thinkful, thinkful coding school, thinkful online coding bootcamp, become a developer, learn to code, coding mentorship",Answer a few questions and a Thinkful education advisor will work with you 1-on-1 to find the right course for you. Online coding bootcamp with 1-on-1 mentorship Become a developer. Guaranteed. ,/learn/javascript-best-practices-1/,,  best practices school course expert thinkful mentor work guaranteed education coding data working bootcamp questions online developer knowledge become learn accelerate web science answer development code right javascript mentorship find advisor,0,0,0,0,TRAINING
525,525,de.wikipedia.org,wikipedia – die freie enzyklopädie, , ,"Wikipedia ist ein Projekt zum Aufbau einer Enzyklopädie aus freien Inhalten, zu denen du sehr gern beitragen kannst. Seit Mai 2001 sind 2.070.429 Artikel in deutscher Sprache entstanden. Wikipedia:Hauptseite Willkommen bei Wikipedia ",/wiki/JavaScript_Object_Notation,"The German Wikipedia (German: deutschsprachige Wikipedia) is the German-language edition of Wikipedia, a free and publicly editable online encyclopedia.",  sind bei inhalten enzyklop freien sprache ein die projekt entstanden denen gern wikipedia mai aus sehr kannst object freie aufbau wiki willkommen zu hauptseite beitragen seit artikel du einer deutscher ist javascript notation zum,0,0,0,0,NEWS
526,526,json-p.org, , , , ,/,, ,0,0,0,0,PACKAGE
528,528,jsbooks.revolunet.com,jsbooks - free javascript books,jsbooks is a showcase of the bests free ebooks about javascript. find here the best publications about your favourite programming langage without spending any bucks !, ," Discover the most popular free JavaScript books and improve your skills, thanks to the developers community ! Fork it on GitHub and add any books related to your best programming language :) The best free JavaScript resources ",/,,  github best jsbooks bucks langage developers favourite ebooks community discover showcase thanks improve without popular fork related language free resources add books skills javascript find bests spending programming publications,0,0,0,0,NEWS
529,529,javascript.about.com,javascript programming,"take your web pages to the next level with interactive javascript elements. find tutorials, how-tos, sample scripts, and more to help you learn to write your own javascript code. ", ,"Take your web pages to the next level with interactive JavaScript elements. Find tutorials, how-tos, sample scripts, and more to help you learn to write your own JavaScript code.  JavaScript Programming JavaScript Nested IF/ELSE Statements ",/od/problemsolving/a/modulobug.htm,"JavaScript (), often abbreviated as JS, is a high-level, dynamic, weakly typed, object-based, multi-paradigm, and interpreted client-side programming language. Alongside HTML and CSS, JavaScript is one of the three core technologies of World Wide Web content production. It is used to make webpages interactive and provide online programs, including video games. The majority of websites employ it, and all modern web browsers support it without the need for plug-ins by means of a built-in JavaScript engine. Each of the many JavaScript engines represent a different implementation of JavaScript, all based on the ECMAScript specification, with some engines not supporting the spec fully, and with many engines supporting additional features beyond ECMA.",  else help problemsolving statements next htm write tutorials nested sample tos od modulobug pages level take learn interactive web javascript elements scripts code find programming,0,0,0,0,NEWS
533,533,sam-houlahan.github.io,site not found · github pages, , ,'There isn''t a GitHub Pages site here. 404 ',/js-calculator/,"GitHub is a web-based Git or version control repository and Internet hosting service. It is mostly used for code. It offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.",  github calculator pages site js found,0,0,0,0,NEWS
536,536,www.adaltas.com,"'adaltas – bigdata, micro services & devops, let''s the party begin!'", , ,"BigData BigData, DevOps & MicroServices ",/blog/2013/09/27/login-crawl-website-phantomjs/,,  begin phantomjs blog adaltas party login micro microservices let website devops crawl services bigdata,0,0,0,0,BUSINESS
537,537,api.worldweatheronline.com, , , , ,/free/v2/weather.ashx,,  v2 ashx free weather,0,0,0,0,PACKAGE
538,538,desple.com,金沙赌船开_奥门金沙会_澳门金沙网上娱乐-全芏网,"澳门金沙娱乐js5988com,金沙赌船开","金沙赌船开,澳门金沙网上娱乐-全芏网,澳门金沙娱乐js5988com",拍档PEC100 ,/post/118425815657/permutations-with-heaps-algorithm-in-javascript,,  algorithm heaps pec100 javascript js5988com permutations post,0,0,0,0,NEWS
544,544,labs.jonsuh.com, , , , ,/jquery-ajax-php-json/,,  json ajax jquery php,0,0,0,0,NEWS
545,545,www.dyn-web.com,dyn-web.com: javascript and php tutorials and scripts, , ,"This multi-part tutorial on PHP-JavaScript interactions describes and demonstrates the old-school approaches as well as JavaScript Object Notation (JSON). We cover JSON functions and methods provided for both PHP and JavaScript: json_encode and json_decode, JSON.stringify and JSON.parse, and more. Numerous examples and a download file are provided. Read On JavaScript and PHP Tutorials and Scripts  PHP, JavaScript, and JSON ",/javascript/arrays/multidimensional.php,,  read old com school methods arrays decode cover parse file dyn interactions stringify tutorial part approaches object numerous json provided tutorials download functions multidimensional describes demonstrates encode well web javascript php scripts multi notation examples,0,0,0,0,TRAINING
546,546,unina.stidue.net,index of /, , ,Index of / ,/Applicazioni%20Telematiche/Materiale/JavaScript%20For%20Dummies.pdf,,  materiale javascript pdf index applicazioni,0,0,0,0,NEWS
548,548,chrome:,information by ip address,"information for ip address and browser: location, weather, client properties and more. advanced internet tools.","ip, address, information","InfoByIp.com provides IP detection, geolocation and weather forecast. Both IPv4 and IPv6 are supported. Geolocation determines country, state and city of the IP address as well as latitude, longitude and altitude. In addition browsers properties are shown when displayed IP is the client IP. Browser properties include user agent, screen resolution and size, color depth, list of installed plugins, local time, java and flash support. Internet tools ",//flags/,,  determines plugins flags com latitude size state weather time user displayed city browsers supported infobyip altitude ip include depth location screen country ipv6 addition java installed local address client geolocation provides list forecast agent properties well browser detection advanced tools internet flash longitude resolution ipv4 color support information shown,0,0,0,0,NOCLASS
549,549,blog.sudoask.com,linux and programming,tech and notes, ,"tech and notes  Linux and programming  What happen with Vultr 2.5$, Is It Available ? ",/speed-up-nodejs-application-with-nginx-proxy-caching/,,  tech available linux programming application vultr nginx nodejs speed happen proxy caching notes,0,0,1,0,NEWS
550,550,www.bradoncode.com,software development | bradley braithwaite,"a software development website from bradley braithwaite, a software engineer.","bradley braithwaite,software developer,software engineer,developer,engineer,code,programming","'A website about software development, design patterns, testing and how-to guides covering web technologies: JavaScript, AngularJS, Node.js Bradley Braithwaite''s Software Developer Website Featured Content '",/blog/2015/08/26/javascript-semi-colon-insertion/,,  covering technologies website node featured blog colon design guides braithwaite js content developer angularjs software web insertion development code testing javascript bradley semi patterns programming engineer,0,0,0,0,NEWS
551,551,file.allitebooks.com,403 forbidden, , ,403 Forbidden ,/20161224/JavaScript%20Recipes.pdf,,  forbidden javascript pdf,0,0,0,0,NOCLASS
552,552,solutionoptimist.com,the solution optimist, , ,"While working on many Web SPA projects, I frequently need to present concepts and rationalizations on SPA scaffolding considerations. Typical Questions: What client tools should I use ? What is NPM and Bower ? And why should I use both ? How should I structure my code to scale ? Why would I need/want a […] The Solution Optimist Code refactors and Technical solutions for Web and Mobile ",/2013/12/27/javascript-promise-chains-2/,,  concepts typical solution solutions want many npm structure refactors optimist scaffolding use working would questions technical promise frequently client bower rationalizations chains web need tools present code javascript scale mobile spa projects considerations,0,0,0,0,NEWS
553,553,www.scriptingmaster.com,scriptingmaster  learn from the master,"scriptingmaster provides innovative and affordable training solutions in dozens of web and software development technologies. we are committed to preparing professionals advance their careers, students achieve academic success, and individuals achieve personal growth. learn from us online or in classroom.","scripting, scripting html, programming, html, markup languages, asp, vbscript, hypertext markup, hypertext markup language, active server pages technology, server-side scripting, active server pages, html scripting, html help, learn html, learn asp, asp help, javascript, client side scripting, client side scripts",'Browse through the HTML section of ScriptingMaster''s website to learn how to code in HTML to create or fix your webpages. Training ',"/javascript/nesting-loops.asp,/javascript/infinite-loops.asp",,  master asp help active committed personal innovative achieve technologies solutions website nesting hypertext success technology dozens scripting webpages infinite vbscript professionals growth us browse academic advance language classroom online pages html fix create individuals languages server client provides section learn side web software loops training students development javascript scripts code preparing affordable careers markup programming scriptingmaster,0,0,0,0,TRAINING
554,554,www.java2s.com,programming tutorials and source code examples,programming tutorials and source code examples,programming tutorials and source code examples,java2s.com   | Email:info at java2s.com | © Demo Source and Support. All rights reserved. Java ,"/Tutorials/Javascript/Data_Type/Array/Slice_an_array_to_get_a_sub_array_in_JavaScript.htm,/Tutorial/JavaScript/0040__Operators/Modulus.htm,/Tutorials/Javascript/Tutorial/0280__Javascript_Boolean_Object.htm",,  com info java2s email array tutorial htm object data source tutorials type demo get java sub boolean operators code rights javascript modulus support slice programming reserved examples,0,0,0,0,TRAINING
558,558,dev.vast.com,page not found · github pages, , ,File not found 404 ,/jquery-popup-overlay/,,  file github overlay pages jquery found page popup,0,1,0,0,DOCS
560,560,JavaScript Objects in Detail, , , , ,,, ,0,0,0,0,NOCLASS
563,563,ryanmalm.com, , , , ,/js13k/,,  js13k,0,0,0,0,NOCLASS
564,564,claudiocalautti.cc,claudio calautti | creative front-end developer london,i’m an independent freelance creative front-end developer with 8+ years of professional experience. #html5 #css #js,"front-end developer, web designer, london", For full functionality of this website it is necessary to enable JavaScript. Here are the instructions how to enable JavaScript in your web browser.  CLAUDIO CALAUTTI CREATIVE FRONT-END DEVELOPER ,/js/main.js,,  experience end full professional calautti website main front functionality necessary instructions js creative css freelance designer enable independent claudio developer london years browser web javascript html5,0,0,0,0,NEWS
565,565,blog.kevinchisholm.com,kevin chisholm - front-end web developer,"kevin chisholm is a front-end web developer based in new york city, specializig in html, css, and object-oriented javascript","kevin chisholm,front-end,front end,web-devloper,web devloper,html,html5,css,ss3,javascript,js,obkject-oriented javascript,object oriented,oo,oojs,jquery"," Kevin Chisholm – Blog Let Node.js scrape the page and get the title, description, keywords and image tags for you ","/javascript/javascript-array-length-always-one-higher/,/arrays-javascript/javascript-array-management-with-push-pop-shift-and-unshift/,/javascript/javascript-immediate-functions-basics/",,  new length arrays end obkject devloper shift kevin description immediate york front node push blog city array jquery tags higher object management js scrape css one specializig unshift based oojs get functions html always developer let page keywords basics oriented web oo ss3 pop javascript image chisholm html5 title,0,0,1,0,NEWS
567,567,docs.webplatform.org,welcome to web platform docs · webplatform docs, , ,Web Platform Docs is a community-driven site that aims to become a comprehensive and authoritative source for web developer documentation. Welcome to Web Platform Docs Summary ,/wiki/javascript/parseInt,,  welcome summary community aims docs source driven authoritative wiki documentation site developer become platform web javascript comprehensive parseint webplatform,0,1,0,0,DOCS
569,569,p5js.org,p5.js | home,"p5.js a js client-side library for creating graphic and interactive experiences, based on the core principles of processing.", ,Processing fun times JavaScript quirkiness Language Settings ,",/,/get-started/,/reference/",,  library times core experiences js reference fun settings based language home get started client principles creating graphic side interactive quirkiness javascript processing p5,0,0,0,0,PACKAGE
571,571,api.forecast.io, , , , ,"/forecast/b88b7b4d5a79e0d32f33fcb6f57f530a/-33.8683,151.2086",,  b88b7b4d5a79e0d32f33fcb6f57f530a forecast,0,0,0,0,PACKAGE
574,574,jazcash.com,jasper cashmore,i write about web stuff, ,'Javascript is a weird and wonderful language that lets us write some crazy code that''s still valid. It tries to help us out by converting things » Jasper Cashmore I write about web stuff ',/a-javascript-journey-with-only-six-characters/,,  cashmore characters help crazy tries six jasper write us weird converting language lets things still wonderful stuff web javascript code valid journey,0,0,0,0,NEWS
577,577,www.javascript30.com,javascript 30 — build 30 things with vanilla js in 30 days with 30 tutorials, , ,30 Day Vanilla JS Coding Challenge #JavaScript30 There is no formation without repetition. ,,,  without things challenge javascript30 javascript vanilla day coding days js repetition formation tutorials build,0,0,0,0,TRAINING
579,579,security.stackexchange.com,information security stack exchange,q&a for information security professionals, ,Explore Our Questions ,/questions/23438/security-risks-with-jsonp,"Transport Layer Security (TLS) and its predecessor, Secure Sockets Layer (SSL), both frequently referred to as ""SSL"", are cryptographic protocols that provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, Internet faxing, instant messaging, and voice-over-IP (VoIP). Websites are able to use TLS to secure all communications between their servers and web browsers.",  security risks explore questions q exchange jsonp professionals information stack,0,0,0,0,COMMUITY
580,580,www.javascriptenlightenment.com,"javascript enlightenment | by cody lindley | 1st edition | ecma-262, edition 3","'this book is not about javascript design patterns or implementing the object-oriented paradigm in javascript. it was not written to distinguish the good features of the javascript language from the bad. it is not meant to be a complete reference guide. it is not targeted at those new to programming or those completely new to javascript. and it is not a cookbook of javascript recipes. all of these books have already been written. it was my intention to author a book that would give the reader an accurate javascript worldview through an examination of the native javascript objects and supporting nuances (scope, closures, inheritance, etc.). i intended this book to be an digestible summary of the ecma 3 specification, specifically focused on the nature of objects in javascript. if you are a designer or developer who has only used javascript libraries to write introductory javascript programs, it''s my hope that the material in this book will transform you from a javascript library developer into a javascript developer.'", ,"Free PDF book (142 pages) JavaScript Enlightenment | by Cody Lindley | 1st Edition | ECMA-262, Edition 3 A book to turn a JavaScript library user into a JavaScript developer ",/JavaScript_Enlightenment.pdf,,  supporting paradigm transform new ecma specifically edition already object write nuances would focused worldview oriented cookbook introductory distinguish intention hope pdf complete native scope examination design specification nature designer recipes lindley etc reader programming meant completely features user implementing material guide reference language used written free enlightenment pages author javascript objects book good closures patterns give inheritance accurate library bad programs summary turn cody intended developer libraries digestible books targeted,0,0,0,0,NEWS
583,583,192.168.5.33:8080, , , , ,/json/cat.json,,  json cat,0,0,0,0,NOCLASS
